station,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,feel,date,time
EGAA,2.0,0.0,86.59,290.0,6.173328,0.0,0.75692,,6.21,,-3.0,20220104,22:20
EGAA,2.0,0.0,86.59,270.0,5.6588840000000005,0.0,0.75692,,6.21,,-2.8,20220104,22:50
EGAA,2.0,0.0,86.59,280.0,5.14444,0.0,0.75692,,6.21,,-2.5,20220104,23:20
EGAA,2.0,0.0,86.59,280.0,7.202216,0.0,0.75692,,6.21,,-3.4,20220104,23:50
EGAA,2.0,0.0,86.59,290.0,6.173328,0.0,0.757682,,6.21,,-3.0,20220105,00:20
EGAA,2.0,0.0,86.59,310.0,7.202216,0.0,0.757682,,6.21,,-3.4,20220105,00:50
EGAA,2.0,0.0,86.59,280.0,5.14444,0.0,0.757682,,6.21,,-2.5,20220105,01:20
EGAA,2.0,0.0,86.59,280.0,5.6588840000000005,0.0,0.757682,,6.21,,-2.8,20220105,01:50
EGAA,2.0,0.0,86.59,290.0,5.14444,0.0,0.757682,,6.21,,-2.5,20220105,02:20
EGAA,2.0,0.0,86.59,310.0,6.687772,0.0,0.757682,,6.21,,-3.2,20220105,02:50
EGAA,3.0,0.0,80.65,310.0,6.173328,0.0,0.757682,,6.21,,-1.7,20220105,03:20
EGAA,2.0,0.0,86.59,290.0,5.6588840000000005,0.0,0.75819,,6.21,,-2.8,20220105,03:50
EGAA,2.0,0.0,86.59,320.0,4.115552,0.0,0.75819,,6.21,,-1.9,20220105,04:20
EGAA,2.0,0.0,86.59,330.0,2.57222,0.0,0.758952,,6.21,,-0.7,20220105,04:50
EGAA,2.0,0.0,86.59,290.0,3.601108,0.0,0.758952,,6.21,,-1.6,20220105,05:20
EGAA,2.0,0.0,86.59,290.0,4.115552,0.0,0.758952,,6.21,,-1.9,20220105,05:50
EGAA,2.0,0.0,86.59,310.0,4.115552,0.0,0.759714,,6.21,,-1.9,20220105,06:20
EGAA,2.0,1.0,93.08,310.0,2.57222,0.0,0.759714,,6.21,,-0.7,20220105,06:50
EGAA,2.0,1.0,93.08,300.0,4.115552,0.0,0.759714,,6.21,,-1.9,20220105,07:20
EGAA,3.0,1.0,86.69,310.0,4.115552,0.0,0.760476,,6.21,,-0.7,20220105,07:50
EGAA,2.0,1.0,93.08,330.0,2.57222,0.0,0.760476,,6.21,,-0.7,20220105,08:20
EGAA,2.0,0.0,86.59,310.0,2.057776,0.0,0.761238,,6.21,,-0.2,20220105,08:50
EGAA,1.0,0.0,93.03,280.0,2.57222,0.0,0.761238,,6.21,,-1.9,20220105,09:20
EGAA,2.0,1.0,93.08,330.0,2.057776,0.0,0.762,,6.21,,-0.2,20220105,09:50
EGAA,3.0,1.0,86.69,310.0,2.057776,0.0,0.762,,6.21,,1.0,20220105,10:20
EGAA,4.0,1.0,80.79,310.0,3.086664,0.0,0.762,,6.21,,1.2,20220105,10:50
EGAA,3.0,2.0,93.14,300.0,3.601108,0.0,0.762762,,6.21,,-0.4,20220105,11:20
EGAA,3.0,2.0,93.14,290.0,1.543332,0.0,0.762762,,6.21,,1.6,20220105,11:50
EGAA,4.0,2.0,86.79,280.0,2.057776,0.0,0.762762,,6.21,,2.1,20220105,12:20
EGAA,4.0,2.0,86.79,290.0,2.57222,0.0,0.762762,,6.21,,1.6,20220105,12:50
EGAA,5.0,2.0,80.93,280.0,3.086664,0.0,0.762762,,6.21,,2.4,20220105,13:20
EGAA,5.0,2.0,80.93,290.0,3.601108,0.0,0.762762,,6.21,,2.1,20220105,13:50
